paper_id,question_id,question_text
203,problem,What problem does this paper address?
203,method,What method or approach does this paper propose?
203,findings,What are the main findings or contributions of this paper?
203,limitations,What limitations or caveats are discussed in this paper?
302,problem,What problem does this paper address?
302,method,What method or approach does this paper propose?
302,findings,What are the main findings or contributions of this paper?
302,limitations,What limitations or caveats are discussed in this paper?
301,problem,What problem does this paper address?
301,method,What method or approach does this paper propose?
301,findings,What are the main findings or contributions of this paper?
301,limitations,What limitations or caveats are discussed in this paper?
201,problem,What problem does this paper address?
201,method,What method or approach does this paper propose?
201,findings,What are the main findings or contributions of this paper?
201,limitations,What limitations or caveats are discussed in this paper?
2,problem,What problem does this paper address?
2,method,What method or approach does this paper propose?
2,findings,What are the main findings or contributions of this paper?
2,limitations,What limitations or caveats are discussed in this paper?
103,problem,What problem does this paper address?
103,method,What method or approach does this paper propose?
103,findings,What are the main findings or contributions of this paper?
103,limitations,What limitations or caveats are discussed in this paper?
308,problem,What problem does this paper address?
308,method,What method or approach does this paper propose?
308,findings,What are the main findings or contributions of this paper?
308,limitations,What limitations or caveats are discussed in this paper?
307,problem,What problem does this paper address?
307,method,What method or approach does this paper propose?
307,findings,What are the main findings or contributions of this paper?
307,limitations,What limitations or caveats are discussed in this paper?
211,problem,What problem does this paper address?
211,method,What method or approach does this paper propose?
211,findings,What are the main findings or contributions of this paper?
211,limitations,What limitations or caveats are discussed in this paper?
208,problem,What problem does this paper address?
208,method,What method or approach does this paper propose?
208,findings,What are the main findings or contributions of this paper?
208,limitations,What limitations or caveats are discussed in this paper?
104,problem,What problem does this paper address?
104,method,What method or approach does this paper propose?
104,findings,What are the main findings or contributions of this paper?
104,limitations,What limitations or caveats are discussed in this paper?
102,problem,What problem does this paper address?
102,method,What method or approach does this paper propose?
102,findings,What are the main findings or contributions of this paper?
102,limitations,What limitations or caveats are discussed in this paper?
202,problem,What problem does this paper address?
202,method,What method or approach does this paper propose?
202,findings,What are the main findings or contributions of this paper?
202,limitations,What limitations or caveats are discussed in this paper?
206,problem,What problem does this paper address?
206,method,What method or approach does this paper propose?
206,findings,What are the main findings or contributions of this paper?
206,limitations,What limitations or caveats are discussed in this paper?
204,problem,What problem does this paper address?
204,method,What method or approach does this paper propose?
204,findings,What are the main findings or contributions of this paper?
204,limitations,What limitations or caveats are discussed in this paper?
213,problem,What problem does this paper address?
213,method,What method or approach does this paper propose?
213,findings,What are the main findings or contributions of this paper?
213,limitations,What limitations or caveats are discussed in this paper?
306,problem,What problem does this paper address?
306,method,What method or approach does this paper propose?
306,findings,What are the main findings or contributions of this paper?
306,limitations,What limitations or caveats are discussed in this paper?
221,problem,What problem does this paper address?
221,method,What method or approach does this paper propose?
221,findings,What are the main findings or contributions of this paper?
221,limitations,What limitations or caveats are discussed in this paper?
224,problem,What problem does this paper address?
224,method,What method or approach does this paper propose?
224,findings,What are the main findings or contributions of this paper?
224,limitations,What limitations or caveats are discussed in this paper?
222,problem,What problem does this paper address?
222,method,What method or approach does this paper propose?
222,findings,What are the main findings or contributions of this paper?
222,limitations,What limitations or caveats are discussed in this paper?
226,problem,What problem does this paper address?
226,method,What method or approach does this paper propose?
226,findings,What are the main findings or contributions of this paper?
226,limitations,What limitations or caveats are discussed in this paper?
101,problem,What problem does this paper address?
101,method,What method or approach does this paper propose?
101,findings,What are the main findings or contributions of this paper?
101,limitations,What limitations or caveats are discussed in this paper?
1,problem,What problem does this paper address?
1,method,What method or approach does this paper propose?
1,findings,What are the main findings or contributions of this paper?
1,limitations,What limitations or caveats are discussed in this paper?
205,problem,What problem does this paper address?
205,method,What method or approach does this paper propose?
205,findings,What are the main findings or contributions of this paper?
205,limitations,What limitations or caveats are discussed in this paper?
